component,explained_variance_ratio,rank,feature,loading,abs_loading
PC1,0.4802,1,reb__apt_monthly_rent_supply_demand,0.8679,0.8679
PC1,0.4802,2,ecos__cpi_housing,0.185,0.185
PC1,0.4802,3,reb__apt_sale_index,0.1654,0.1654
PC1,0.4802,4,reb__apt_sale_supply_demand,0.162,0.162
PC1,0.4802,5,ecos__cd_91d_rate,-0.1554,0.1554
PC2,0.1819,1,ecos__cpi_housing,0.6362,0.6362
PC2,0.1819,2,reb__apt_jeonse_supply_demand,-0.3856,0.3856
PC2,0.1819,3,ecos__unemployment_rate,-0.2649,0.2649
PC2,0.1819,4,reb__apt_sale_index,0.2534,0.2534
PC2,0.1819,5,reb__apt_jeonse_avg_price,0.2388,0.2388
PC3,0.153,1,ecos__cd_91d_rate,0.3515,0.3515
PC3,0.153,2,ecos__unemployment_rate,-0.3454,0.3454
PC3,0.153,3,reb__apt_monthly_rent_supply_demand,0.3166,0.3166
PC3,0.153,4,policy__adjustment_target_area_regime,-0.3113,0.3113
PC3,0.153,5,ecos__mortgage_rate_new,0.3091,0.3091
PC4,0.1049,1,policy__dti_regime,0.5789,0.5789
PC4,0.1049,2,ecos__cpi_housing,-0.4497,0.4497
PC4,0.1049,3,policy__ltv_regime,0.3483,0.3483
PC4,0.1049,4,policy__speculative_zone_regime,0.3144,0.3144
PC4,0.1049,5,ecos__mortgage_rate_new,0.2031,0.2031
PC5,0.0241,1,ecos__unemployment_rate,0.7841,0.7841
PC5,0.0241,2,reb__apt_jeonse_supply_demand,-0.3227,0.3227
PC5,0.0241,3,policy__ltv_regime,-0.2417,0.2417
PC5,0.0241,4,ecos__mortgage_rate_new,0.2031,0.2031
PC5,0.0241,5,policy__dti_regime,-0.1865,0.1865
PC6,0.0198,1,policy__dti_regime,0.4826,0.4826
PC6,0.0198,2,policy__adjustment_target_area_regime,-0.3482,0.3482
PC6,0.0198,3,ecos__unemployment_rate,0.3481,0.3481
PC6,0.0198,4,ecos__cpi_housing,0.3002,0.3002
PC6,0.0198,5,policy__speculative_zone_regime,-0.2834,0.2834
PC7,0.0105,1,policy__real_estate_policy_regime,0.5474,0.5474
PC7,0.0105,2,policy__acquisition_tax_regime,-0.3758,0.3758
PC7,0.0105,3,policy__adjustment_target_area_regime,0.3484,0.3484
PC7,0.0105,4,ecos__cd_91d_rate,0.3294,0.3294
PC7,0.0105,5,reb__apt_sale_index,-0.2628,0.2628
PC8,0.0067,1,policy__comprehensive_real_estate_tax_regime,0.4824,0.4824
PC8,0.0067,2,policy__adjustment_target_area_regime,0.4809,0.4809
PC8,0.0067,3,reb__apt_sale_supply_demand,-0.3394,0.3394
PC8,0.0067,4,policy__real_estate_policy_regime,-0.2932,0.2932
PC8,0.0067,5,policy__speculative_zone_regime,-0.2642,0.2642
PC9,0.0048,1,policy__comprehensive_real_estate_tax_regime,0.4276,0.4276
PC9,0.0048,2,policy__speculative_zone_regime,0.4224,0.4224
PC9,0.0048,3,policy__acquisition_tax_regime,-0.4116,0.4116
PC9,0.0048,4,ecos__cd_91d_rate,0.329,0.329
PC9,0.0048,5,policy__adjustment_target_area_regime,-0.2941,0.2941
