component,explained_variance_ratio,rank,feature,loading,abs_loading
PC1,0.2968,1,ecos__base_rate,0.427,0.427
PC1,0.2968,2,ecos__cd_91d_rate,0.3692,0.3692
PC1,0.2968,3,policy__adjustment_target_area_regime,-0.3461,0.3461
PC1,0.2968,4,ecos__mortgage_rate_new,0.3126,0.3126
PC1,0.2968,5,reb__apt_monthly_rent_supply_demand,-0.2765,0.2765
PC2,0.2779,1,ecos__cpi_housing,0.6038,0.6038
PC2,0.2779,2,reb__apt_monthly_rent_supply_demand,0.4389,0.4389
PC2,0.2779,3,reb__apt_sale_index,0.3066,0.3066
PC2,0.2779,4,reb__apt_jeonse_avg_price,0.2724,0.2724
PC2,0.2779,5,policy__dsr_regime,0.2574,0.2574
PC3,0.1706,1,reb__apt_jeonse_supply_demand,0.4724,0.4724
PC3,0.1706,2,policy__dti_regime,-0.4484,0.4484
PC3,0.1706,3,policy__speculative_zone_regime,-0.2927,0.2927
PC3,0.1706,4,policy__acquisition_tax_regime,-0.271,0.271
PC3,0.1706,5,policy__adjustment_target_area_regime,-0.2541,0.2541
PC4,0.1267,1,reb__apt_monthly_rent_supply_demand,0.5154,0.5154
PC4,0.1267,2,policy__acquisition_tax_regime,0.4978,0.4978
PC4,0.1267,3,ecos__cpi_housing,-0.3685,0.3685
PC4,0.1267,4,reb__apt_jeonse_supply_demand,0.3544,0.3544
PC4,0.1267,5,ecos__mortgage_rate_new,0.2342,0.2342
PC5,0.0452,1,policy__dti_regime,0.5825,0.5825
PC5,0.0452,2,policy__acquisition_tax_regime,-0.5824,0.5824
PC5,0.0452,3,policy__ltv_regime,0.296,0.296
PC5,0.0452,4,reb__apt_jeonse_supply_demand,0.2352,0.2352
PC5,0.0452,5,policy__adjustment_target_area_regime,-0.2227,0.2227
PC6,0.027,1,ecos__unemployment_rate,0.8316,0.8316
PC6,0.027,2,reb__apt_jeonse_supply_demand,-0.2441,0.2441
PC6,0.027,3,ecos__mortgage_rate_new,0.2231,0.2231
PC6,0.027,4,reb__apt_monthly_rent_supply_demand,0.2083,0.2083
PC6,0.027,5,policy__adjustment_target_area_regime,-0.2005,0.2005
PC7,0.0161,1,ecos__mortgage_rate_new,0.4463,0.4463
PC7,0.0161,2,policy__acquisition_tax_regime,-0.4267,0.4267
PC7,0.0161,3,policy__speculative_zone_regime,0.3852,0.3852
PC7,0.0161,4,reb__apt_monthly_rent_supply_demand,0.3282,0.3282
PC7,0.0161,5,ecos__unemployment_rate,-0.2964,0.2964
PC8,0.0101,1,policy__adjustment_target_area_regime,0.4865,0.4865
PC8,0.0101,2,policy__real_estate_policy_regime,0.4369,0.4369
PC8,0.0101,3,ecos__base_rate,0.3854,0.3854
PC8,0.0101,4,ecos__cd_91d_rate,0.3459,0.3459
PC8,0.0101,5,policy__speculative_zone_regime,-0.2678,0.2678
PC9,0.0082,1,policy__comprehensive_real_estate_tax_regime,0.6137,0.6137
PC9,0.0082,2,policy__real_estate_policy_regime,-0.528,0.528
PC9,0.0082,3,policy__acquisition_tax_regime,-0.2825,0.2825
PC9,0.0082,4,reb__apt_sale_supply_demand,-0.2755,0.2755
PC9,0.0082,5,reb__apt_jeonse_supply_demand,0.1596,0.1596
