dong,adf_stat,p_value,used_lag,n_obs,is_stationary
가락동,-2.43113255692991,0.36320309577544874,10,181,False
가리봉동,-2.43113255692991,0.36320309577544874,10,181,False
가산동,-2.43113255692991,0.36320309577544874,10,181,False
가양동,-2.43113255692991,0.36320309577544874,10,181,False
갈월동,-2.43113255692991,0.36320309577544874,10,181,False
갈현동,-2.43113255692991,0.36320309577544874,10,181,False
강일동,-2.43113255692991,0.36320309577544874,10,181,False
개봉동,-2.43113255692991,0.36320309577544874,10,181,False
개포동,-2.43113255692991,0.36320309577544874,10,181,False
거여동,-2.43113255692991,0.36320309577544874,10,181,False
고덕동,-2.43113255692991,0.36320309577544874,10,181,False
고척동,-2.43113255692991,0.36320309577544874,10,181,False
공덕동,-2.43113255692991,0.36320309577544874,10,181,False
공릉동,-2.43113255692991,0.36320309577544874,10,181,False
공항동,-2.43113255692991,0.36320309577544874,10,181,False
광장동,-2.43113255692991,0.36320309577544874,10,181,False
교북동,-2.43113255692991,0.36320309577544874,10,181,False
구기동,-2.43113255692991,0.36320309577544874,10,181,False
구로동,-2.43113255692991,0.36320309577544874,10,181,False
구산동,-2.43113255692991,0.36320309577544874,10,181,False
구수동,-2.43113255692991,0.36320309577544874,10,181,False
구의동,-2.43113255692991,0.36320309577544874,10,181,False
군자동,-2.43113255692991,0.36320309577544874,10,181,False
궁동,-2.43113255692991,0.36320309577544874,10,181,False
길동,-2.43113255692991,0.36320309577544874,10,181,False
길음동,-2.43113255692991,0.36320309577544874,10,181,False
남가좌동,-2.43113255692991,0.36320309577544874,10,181,False
남창동,-2.43113255692991,0.36320309577544874,10,181,False
남현동,-2.43113255692991,0.36320309577544874,10,181,False
내곡동,-2.43113255692991,0.36320309577544874,10,181,False
내발산동,-2.43113255692991,0.36320309577544874,10,181,False
내수동,-2.43113255692991,0.36320309577544874,10,181,False
냉천동,-2.43113255692991,0.36320309577544874,10,181,False
노고산동,-2.43113255692991,0.36320309577544874,10,181,False
노량진동,-2.43113255692991,0.36320309577544874,10,181,False
녹번동,-2.43113255692991,0.36320309577544874,10,181,False
논현동,-2.43113255692991,0.36320309577544874,10,181,False
능동,-2.43113255692991,0.36320309577544874,10,181,False
답십리동,-2.43113255692991,0.36320309577544874,10,181,False
당산동,-2.43113255692991,0.36320309577544874,10,181,False
당주동,-2.43113255692991,0.36320309577544874,10,181,False
대림동,-2.43113255692991,0.36320309577544874,10,181,False
대방동,-2.43113255692991,0.36320309577544874,10,181,False
대조동,-2.43113255692991,0.36320309577544874,10,181,False
