timestamp,ecos__base_rate,ecos__cd_91d_rate,ecos__cpi_housing,ecos__mortgage_rate_new,ecos__unemployment_rate,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,reb__apt_sale_avg_price,reb__apt_sale_index,reb__apt_sale_supply_demand,policy__dsr_regime,policy__dti_regime,policy__ltv_regime,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,policy__adjustment_target_area_regime,policy__comprehensive_real_estate_tax_regime,policy__acquisition_tax_regime,policy__speculative_overheated_district_regime,policy__speculative_zone_regime
2010-01-01,2.0,2.88,83.012,5.88,4.85,391.8880265,102.461258,90.38461538,681.4955915,83.78412901,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-02-01,2.0,2.88,83.179,5.75,4.4,391.8880265,102.461258,90.38461538,619.0392424,83.86025207,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-03-01,2.0,2.83,83.263,5.47,3.85,391.8880265,102.461258,90.38461538,586.1878298,83.10969018,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-04-01,2.0,2.51,83.263,5.07,3.65,391.8880265,102.461258,90.38461538,566.723792,81.31716909,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-05-01,2.0,2.45,83.431,4.78,3.25,391.8880265,102.461258,90.38461538,588.2972974,79.97334065,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-06-01,2.0,2.45,83.431,4.62,3.5,391.8880265,102.461258,90.38461538,598.4252879,79.32117082,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-07-01,2.25,2.58,83.514,4.7,3.75,391.8880265,102.461258,90.38461538,593.9491445,78.17672196,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-08-01,2.25,2.63,83.765,4.81,3.4,391.8880265,102.461258,90.38461538,599.0280977,77.88340794,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-09-01,2.25,2.66,84.351,4.8,3.55,391.8880265,102.461258,90.38461538,583.5791163,78.32169888,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-10-01,2.25,2.66,84.435,4.74,3.5,391.8880265,102.461258,90.38461538,602.2428621,78.37107589,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-11-01,2.5,2.73,84.183,4.65,3.15,391.8880265,102.461258,90.38461538,644.2416364,79.17982325,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2010-12-01,2.5,2.8,84.518,4.67,3.6,391.8880265,102.461258,90.38461538,647.8470774,80.12748905,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-01-01,2.75,2.93,85.355,4.8,3.7,391.8880265,102.461258,90.38461538,611.6947396,81.18243826,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-02-01,2.75,3.13,85.857,4.86,4.05,391.8880265,102.461258,90.38461538,584.168648,81.94123951,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-03-01,3.0,3.35,86.192,4.89,4.0,391.8880265,102.461258,90.38461538,566.719681,81.66891203,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-04-01,3.0,3.4,86.443,4.88,3.6,391.8880265,102.461258,90.38461538,570.8875347,81.18049497,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-05-01,3.0,3.46,87.112,4.9,3.25,391.8880265,102.461258,90.38461538,573.575979,80.59961397,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-06-01,3.25,3.53,87.364,4.87,3.3,391.8880265,102.461258,90.38461538,576.7618599,80.01270653,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-07-01,3.25,3.59,87.53,4.9,3.35,391.8880265,102.461258,90.38461538,614.5117991,80.03143237,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-08-01,3.25,3.59,87.949,4.97,3.1,391.8880265,102.461258,90.38461538,571.4906044,80.14309903,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-09-01,3.25,3.58,88.2,5.0,3.15,391.8880265,102.461258,90.38461538,577.3319897,79.9946846,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-10-01,3.25,3.58,88.954,5.01,3.1,391.8880265,102.461258,90.38461538,592.2980943,79.38187581,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-11-01,3.25,3.56,89.205,5.01,3.1,391.8880265,102.461258,90.38461538,588.0568148,78.58218373,68.41385597,0,1,1,-1,-1,0,-1,0,1,1
2011-12-01,3.25,3.55,89.54,4.95,3.1,391.8880265,102.461258,90.38461538,609.5050732,77.71692898,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-01-01,3.25,3.55,89.899,5.06,3.4,391.8880265,102.461258,90.38461538,575.6980879,77.98138637,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-02-01,3.25,3.53,90.585,5.02,3.75,391.8880265,102.461258,90.38461538,570.595612,77.70560174,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-03-01,3.25,3.54,90.886,5.0,3.5,391.8880265,102.461258,90.38461538,564.6865822,77.06698509,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-04-01,3.25,3.54,90.978,4.94,3.4,391.8880265,102.461258,90.38461538,583.3513784,76.16966499,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-05-01,3.25,3.54,91.079,4.85,3.1500000000000004,391.8880265,102.461258,90.38461538,592.8757079,75.76450777,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-06-01,3.25,3.54,91.204,4.76,3.2,391.8880265,102.461258,90.38461538,557.2214945,75.22408349,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-07-01,3.0,3.34,91.681,4.64,3.1500000000000004,391.8880265,102.461258,90.38461538,548.8836802,74.19449166,68.41385597,0,1,1,-1,-1,0,-1,0,-1,-1
2012-08-01,3.0,3.19,92.058,4.41,3.1,391.8880265,101.6864175,90.38461538,534.7805543,73.55223732,70.60164084,0,1,1,-1,-1,0,-1,0,-1,-1
2012-09-01,3.0,3.14,92.083,4.29,3.05,391.8880265,110.8477666,90.38461538,563.428841,73.14964439,69.96353692,0,1,1,-1,-1,0,-1,0,-1,-1
2012-10-01,2.75,2.93,92.343,4.23,2.95,391.8880265,109.2980857,90.38461538,571.4999382,73.02587516,68.96080219,0,1,1,-1,-1,0,-1,0,-1,-1
2012-11-01,2.75,2.85,92.442,4.19,3.0,391.8880265,116.9553327,90.38461538,574.0971069,72.74789189,72.74384686,0,1,1,-1,-1,0,-1,0,-1,-1
2012-12-01,2.75,2.88,92.745,4.16,3.05,391.8880265,109.2525068,90.38461538,575.3771539,72.04540643,71.37648131,0,1,1,-1,-1,0,-1,0,-1,-1
2013-01-01,2.75,2.86,93.28,4.17,3.3,391.8880265,107.7484047,90.38461538,577.2713323,72.44451646,70.19143118,0,1,1,-1,-1,0,-1,0,-1,-1
2013-02-01,2.75,2.83,93.731,4.06,3.5,391.8880265,110.3919781,90.38461538,578.4448669,72.64629024,71.37648131,0,1,1,-1,-1,0,-1,0,-1,-1
2013-03-01,2.75,2.81,94.351,3.97,3.25,391.8880265,115.1916058,90.38461538,563.3435159,73.34622358,72.99270073,0,1,1,-1,-1,0,-1,0,-1,-1
2013-04-01,2.75,2.8,94.418,3.86,3.1,391.8880265,114.3446379,90.38461538,567.8980591,73.63196894,81.20989918,0,1,1,-1,-1,0,-1,0,-1,-1
2013-05-01,2.5,2.72,94.619,3.77,3.05,391.8880265,112.5114574,90.38461538,553.6642515,73.84914439,83.31805683,0,1,1,-1,-1,0,-1,0,-1,-1
2013-06-01,2.5,2.69,94.652,3.73,3.1,391.8880265,111.1824015,90.38461538,546.2012986,73.41589489,80.93492209,0,1,1,-1,-1,0,-1,0,-1,-1
2013-07-01,2.5,2.68,94.769,3.77,3.1500000000000004,391.8880265,112.1448213,90.38461538,507.7973955,73.31283923,76.35197067,0,1,1,-1,-1,0,-1,0,-1,-1
2013-08-01,2.5,2.66,95.045,3.8,3.1,391.8880265,117.2777269,90.38461538,533.7500596,73.69376077,76.16865261,0,1,1,-1,-1,0,-1,0,-1,-1
2013-09-01,2.5,2.66,95.104,3.82,2.85,391.8880265,120.3941338,90.38461538,534.8766172,74.22147628,83.13473877,0,1,1,-1,-1,0,-1,0,-1,-1
2013-10-01,2.5,2.66,95.272,3.81,2.9000000000000004,391.8880265,120.4399633,90.38461538,546.5431205,74.66801503,87.03024748,0,1,1,-1,-1,0,-1,0,-1,-1
2013-11-01,2.5,2.65,95.698,3.77,2.85,391.8880265,119.3858845,90.38461538,569.2647331,74.46055858,85.97616865,0,1,1,-1,-1,0,-1,0,-1,-1
2013-12-01,2.5,2.65,95.883,3.74,3.15,391.8880265,119.4775435,90.38461538,603.8545069,74.2793255,81.89734189,0,1,1,-1,-1,0,-1,0,-1,-1
2014-01-01,2.5,2.65,96.777,3.75,3.35,391.8880265,120.5908684,90.38461538,588.9117611,74.98843645,83.90778872,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2014-02-01,2.5,2.65,97.138,3.71,4.0,385.3519333,121.038496,90.38461538,576.6126327,75.5995137,86.59355416,0,1,1,-1,-1,0,-1,-1,-1,-1
2014-03-01,2.5,2.65,97.179,3.69,3.65,381.2673606,120.2775291,90.38461538,548.8392898,75.98530618,86.77260519,0,1,1,-1,-1,0,-1,-1,-1,-1
2014-04-01,2.5,2.65,97.321,3.69,3.7,383.7805974,114.3688451,90.38461538,553.4391338,75.9212411,84.89256938,0,1,1,-1,-1,0,-1,-1,-1,-1
2014-05-01,2.5,2.65,97.455,3.63,3.5,383.3317236,110.2506714,90.38461538,558.3057081,75.63203767,84.48970457,0,1,1,-1,-1,0,-1,-1,-1,-1
2014-06-01,2.5,2.65,97.522,3.58,3.5,389.2261049,109.8478066,90.38461538,567.5546317,75.60692886,85.56401074,0,1,1,-1,-1,0,-1,-1,-1,-1
2014-07-01,2.5,2.65,97.455,3.53,3.45,392.7488836,111.4592659,90.38461538,582.9748521,75.68049102,87.7126231,0,1,1,-1,-1,0,-1,-1,-1,-1
2014-08-01,2.25,2.52,97.565,3.5,3.4,397.8502849,111.5487914,90.38461538,593.2986747,76.37752711,88.56311549,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2014-09-01,2.25,2.35,97.615,3.5,3.3,396.1131713,114.4583706,90.38461538,582.9919289,77.07710633,93.08415398,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2014-10-01,2.0,2.21,97.732,3.38,3.4000000000000004,405.5852808,117.0098478,90.38461538,580.3110214,77.46972977,94.82990152,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2014-11-01,2.0,2.14,97.807,3.3,3.3,414.0538297,115.7564906,90.38461538,567.5536956,77.41086768,91.3831692,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2014-12-01,2.0,2.13,97.84,3.33,3.5,428.664774,116.8755595,90.38461538,589.2284383,77.40749368,90.39838854,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-01-01,2.0,2.13,97.329,3.34,3.65,424.9243582,115.2504472,90.38461538,585.1647637,77.87396878,91.68157424,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-02-01,2.0,2.12,97.629,3.24,4.0,422.9224341,116.8157424,90.38461538,589.1782167,78.49612688,94.14132379,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-03-01,1.75,1.95,96.845,2.97,3.75,420.0993394,120.9302326,90.38461538,590.7937508,79.37032744,96.28801431,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-04-01,1.75,1.81,96.961,2.81,3.75,423.4441982,122.2271914,90.38461538,601.1900994,80.15144886,98.88193202,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-05-01,1.75,1.8,96.293,3.06,3.65,432.321892,120.3488372,90.38461538,608.9399203,80.8246328,98.27817531,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-06-01,1.5,1.7,96.409,3.01,3.8,439.1088285,119.8121646,90.38461538,599.5669159,81.37437191,98.9490161,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-07-01,1.5,1.65,95.857,2.96,3.7,450.5075785,120.6171735,90.38461538,604.7028932,82.42999656,99.8881932,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-08-01,1.5,1.64,96.003,2.94,3.5,453.676694,120.0805009,91.41323792,595.177156,83.1621156,99.66457961,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-09-01,1.5,1.6,96.39,2.92,3.35,461.8176666,122.0035778,93.29159213,616.4801159,83.83804205,102.6386404,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-10-01,1.5,1.58,97.271,2.9,3.3,471.2167042,122.7862254,92.57602862,644.5890566,84.37830637,103.3765653,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-11-01,1.5,1.59,97.387,3.04,3.3,484.9505816,123.1663685,91.5921288,666.7593681,84.72941495,102.4597496,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2015-12-01,1.5,1.67,97.552,3.12,3.35,495.7599728,121.3103757,93.6940966,627.6220918,84.36910288,100.9615385,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2016-01-01,1.5,1.67,96.797,3.1,3.65,493.6669068,119.8792487,94.09660107,615.9947366,84.24364547,98.50178891,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2016-02-01,1.5,1.64,97.107,2.99,4.35,483.2641797,116.5921288,93.6940966,613.9870078,84.42343513,97.18246869,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2016-03-01,1.5,1.63,96.39,2.97,3.95,471.7886917,114.8479428,93.29159213,639.1811272,84.43900367,95.88550984,0,-1,-1,-1,-1,0,-1,-1,-1,-1
2016-04-01,1.5,1.61,96.438,2.93,3.75,482.3018523,114.5348837,93.33631485,682.4187815,84.77478172,95.34883721,0,-1,-1,-1,-1,0,-1,-1,-1,-1
