,ecos__base_rate,ecos__cd_91d_rate,ecos__cpi_housing,ecos__mortgage_rate_new,ecos__unemployment_rate,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,reb__apt_sale_avg_price,reb__apt_sale_index,reb__apt_sale_supply_demand,policy__dsr_regime,policy__dti_regime,policy__ltv_regime,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,policy__adjustment_target_area_regime,policy__comprehensive_real_estate_tax_regime,policy__acquisition_tax_regime,policy__speculative_overheated_district_regime,policy__speculative_zone_regime
ecos__base_rate,0.008079009127672954,0.0038031346003709284,0.003653596910322866,0.0016402848070386097,-0.0009662377842555268,-0.01694103223357192,-0.02240471283112035,-0.010484777510811444,-0.00676890684640664,-0.021593730382439297,-0.02968511119293493,-0.0005407705971243244,0.0027811234963595172,-7.255963947626984e-05,0.0004545946341422072,-0.0029643102781221047,0.00022050692952082588,-0.0009052428699572844,0.001475444816600498,0.0016442697445249418,0.0016442697445249411
ecos__cd_91d_rate,0.0038031346003709284,0.005390991738701904,0.0023257356958847415,0.0015349559297824565,-0.00019714536882595328,0.10746887620396042,-0.027936467099950915,0.0005298577825607239,-0.0638781376532765,-0.027234047933985567,-0.021772595663400823,-0.00034596826369763853,0.0010587882241459496,-0.0022112648178821133,-5.9265183740897486e-05,-0.000784307513291698,0.00017298393601834953,0.0028095633907029454,0.0006419231070130401,-0.00019535362108688982,-0.00019535362108688998
ecos__cpi_housing,0.003653596910322866,0.0023257356958847415,0.2619023933801869,0.006674422085871456,0.01388741201447843,-0.07820777686839876,-0.13883208219306384,0.08594397931768881,-2.1657630509586285,-0.0019279803069792525,-0.12416076639502784,0.0006316541360808192,-0.00497435077828858,-0.002716200889634109,0.009421784784816027,-0.00484295965747608,0.0029037859994325327,0.010793613252118814,-0.023125749617527294,-0.0011746253687176852,-0.001174625368717689
ecos__mortgage_rate_new,0.0016402848070386097,0.0015349559297824565,0.006674422085871456,0.005616856094608825,-5.1788237032891625e-05,0.0015492301964677496,-0.0159341286253778,-0.0039200627915614,0.04549893959365357,0.0032311766186644392,-0.046450880631589954,3.85338822175824e-05,-0.0015501964490206902,-0.0036452955976014386,0.0012513178073283522,-0.001048804780905531,0.0004900092765867332,-0.001284594674297752,-0.0006659495970374456,-3.915456209547957e-06,-3.915456209548135e-06
ecos__unemployment_rate,-0.0009662377842555268,-0.00019714536882595328,0.01388741201447843,-5.1788237032891625e-05,0.06099993802206164,-0.30502474419290354,-0.09051463088124395,-0.058128893585687035,-0.9654817506442476,-0.007521553862576793,-0.12170323810626807,0.0012554241931409373,0.009040303849486146,-0.001105154220838436,-0.009445245289229508,-0.005021246906375983,-0.0014908860386689815,-0.009667257011399815,-0.002193562427942281,-0.002163059963143836,-0.0021630599631438387
reb__apt_jeonse_avg_price,-0.01694103223357192,0.10746887620396042,-0.07820777686839876,0.0015492301964677496,-0.30502474419290354,54.7124234151756,3.3885737606354214,1.9216819415574768,52.612321717228745,-0.8985557949678028,-1.2565564692005688,-0.025557846810150654,-0.16709385756103695,-0.2658320219132874,0.22839327753426034,-0.24852744324305998,-0.05281752926899005,0.16760887791145332,0.07443298602507095,-0.21157866852037813,-0.21157866852037807
reb__apt_jeonse_supply_demand,-0.02240471283112035,-0.027936467099950915,-0.13883208219306384,-0.0159341286253778,-0.09051463088124395,3.3885737606354214,7.068983409705805,2.172132946705858,14.128794878342244,1.1381902244526538,5.822152195056251,0.011466240737380147,-0.07171232017485538,-0.10139958331202759,0.07077252652263637,-0.08336158726088602,0.0032069391816545727,0.004657743956880651,-0.0005069908836500696,-0.11075956021716267,-0.11075956021716268
reb__apt_monthly_rent_supply_demand,-0.010484777510811444,0.0005298577825607239,0.08594397931768881,-0.0039200627915614,-0.058128893585687035,1.9216819415574768,2.172132946705858,2.7482386728917865,-0.0439723858268026,0.3245060413488611,2.302793687651756,0.0007472501057678645,-0.027182497365028303,-0.048883897732784155,0.0295620819508329,-0.06079956440899112,-0.001861180420912136,0.04839788416868465,0.029223601350562872,-0.04632355066197615,-0.04632355066197613
reb__apt_sale_avg_price,-0.00676890684640664,-0.0638781376532765,-2.1657630509586285,0.04549893959365357,-0.9654817506442476,52.612321717228745,14.128794878342244,-0.0439723858268026,1210.7563506681715,10.385954044597916,15.386298847588552,-0.13017600456375283,-0.7938096424785469,-0.8960784720170379,0.17131813353633055,0.07669490598822945,-0.04388671220171917,-0.17551610789866584,0.19848367108302248,-0.4326260624472911,-0.43262606244729146
reb__apt_sale_index,-0.021593730382439297,-0.027234047933985567,-0.0019279803069792525,0.0032311766186644392,-0.007521553862576793,-0.8985557949678028,1.1381902244526538,0.3245060413488611,10.385954044597916,1.2601858362588645,1.8707389501547864,0.0062409801379959525,-0.021667206553584464,0.03690943468521553,-0.00757305792792173,0.030137297763804492,0.002664583051478984,-0.04466891687346446,0.0057834103034567165,0.003326513446695514,0.0033265134466955223
