feature,empirical_n_obs,empirical_mean,empirical_std,t_df,t_loc,t_scale
ecos__base_rate,167,-9.688690302473579e-16,0.08961379261869933,5.0,0.003815584530522744,0.06881463830249934
ecos__cd_91d_rate,167,2.15778825280066e-15,0.07320321270986,5.0,0.001982641220092776,0.05674819946288832
ecos__cpi_housing,167,5.169517508673783e-15,0.5102294734484819,5.0,0.008049597257025537,0.33750924442785657
ecos__mortgage_rate_new,167,2.340609409550311e-15,0.07472096242540531,5.0,-0.002082420438528059,0.05703204870223634
ecos__unemployment_rate,167,-1.2229073376035781e-15,0.24624107888837155,5.0,-0.002886468410491943,0.20718746185302314
reb__apt_jeonse_avg_price,167,3.4250712711789262e-15,7.3746053530537,5.0,0.14878667817996408,5.617262563050722
reb__apt_jeonse_supply_demand,167,-3.501922637434416e-14,2.6507836893514196,5.0,0.04261836475056138,2.0040893791744017
reb__apt_monthly_rent_supply_demand,167,1.2474917971548586e-13,1.6528103805011738,5.0,0.03744808046590788,1.085454585292384
reb__apt_sale_avg_price,167,2.2488464849461134e-13,34.691588499811,5.0,0.5147108175434061,28.264171462239535
reb__apt_sale_index,167,2.383190118967821e-14,1.1192139265070167,5.0,-0.0018461074829101566,0.7708648681640602
reb__apt_sale_supply_demand,167,-2.850680436881839e-15,3.49474189996426,5.0,-0.03167161711986434,2.576317249354957
policy__dsr_regime,167,-8.765443460887838e-16,0.06865974898462746,5.0,-0.002907606892287729,0.018169900774951647
policy__dti_regime,167,6.515081222351218e-17,0.29481432943846353,5.0,0.0028609421232831667,0.07994631049223022
policy__ltv_regime,167,-4.640333360409337e-16,0.41356025003498087,5.0,0.003984123520187269,0.19168603826164768
policy__real_estate_policy_regime,167,-5.065808052481253e-16,0.20086971914056262,5.0,-0.00836975704257202,0.06080517278168662
policy__capital_gains_tax_regime,167,3.0049150127579087e-16,0.3026789387412778,5.0,-0.003524591999331734,0.16995795342845213
policy__adjustment_target_area_regime,167,5.983237857261323e-18,0.07241262874801027,5.0,-0.004262533605013221,0.02088753040661248
policy__comprehensive_real_estate_tax_regime,167,1.3256195874865642e-15,0.19548402614405763,5.0,0.000756072044372559,0.06734657287597388
policy__acquisition_tax_regime,167,2.8174402265637206e-15,0.1571627966369265,5.0,0.0005763225555419926,0.055994415283200344
policy__speculative_overheated_district_regime,167,2.6459207413222293e-16,0.2759516922091244,5.0,0.0012552661438530953,0.1147149498341595
policy__speculative_zone_regime,167,3.855864396901741e-16,0.2759516922091243,5.0,0.0012552661438530953,0.1147149498341595
