step,timestamp,N_scenarios,p5,p10,p25,p50,p75,p90,p95
1,2024-01-01,630,1312.5867314994546,1333.8041181129952,1354.9125365884113,1375.549241838434,1397.8112589006607,1414.416609780587,1433.8416858371115
2,2024-02-01,630,1322.161170551109,1342.0750572541972,1368.582018969552,1399.8532625306648,1433.2606203305736,1462.0245961478354,1486.0769670596171
3,2024-03-01,630,1313.111321742529,1329.3646788508654,1374.6928603596873,1411.937816458079,1455.9896568770298,1491.6249783392961,1508.5619955190787
4,2024-04-01,630,1312.6587997513334,1332.6745211949017,1380.8231826851525,1424.1513114277088,1467.3439676794853,1514.1979299133566,1535.9842455772068
5,2024-05-01,630,1304.0453115655184,1337.3216822166282,1380.5053187735664,1432.0142916617492,1482.213291156445,1529.2855980802128,1556.6674391849522
6,2024-06-01,630,1295.6154741207415,1334.1989768727178,1389.2023957802871,1441.452802836493,1494.5326663535543,1546.0887469363624,1572.9179231609553
7,2024-07-01,630,1292.637438925161,1337.4464583478562,1388.576673601991,1447.3420751669983,1505.7471825722128,1557.1762028647424,1582.5857785204303
8,2024-08-01,630,1280.7552286194045,1321.8163177090462,1397.3804466198155,1457.651110374749,1522.3459396165645,1579.4123623151536,1607.7430172369757
9,2024-09-01,630,1279.3158888078608,1323.760742175983,1393.555614265276,1466.631265233432,1531.3701684319235,1592.7637873949025,1628.4131462659996
10,2024-10-01,630,1285.973639390671,1326.6056778067161,1398.139191588351,1475.6092529791085,1544.246271524623,1610.6374241164594,1661.0988610858967
11,2024-11-01,630,1280.616051106891,1340.0403715041944,1404.7035857675307,1478.866489052171,1555.3008521272964,1636.046985736366,1689.419274303202
12,2024-12-01,630,1286.5893639212793,1328.651728337472,1409.0375299762347,1490.382449052604,1569.7097219969457,1653.1805693881593,1704.0668550167213
13,2025-01-01,630,1290.4422650652834,1328.1196482312484,1413.4005200430504,1498.2401067124406,1583.0325323718334,1669.2441561209664,1726.1478043154837
14,2025-02-01,630,1291.8464054464564,1335.3768651373211,1416.33797494147,1501.0691865777435,1593.5742780827277,1684.4148469199304,1740.2087262122684
15,2025-03-01,630,1282.8792192946066,1331.5740544460514,1421.364887284217,1519.5437433626962,1607.2169536401516,1709.5199960003683,1765.3532979647393
16,2025-04-01,630,1275.9172556915998,1332.1701522088188,1427.229466590084,1526.6205591302796,1635.516166900572,1728.772243790826,1785.4269748683691
17,2025-05-01,630,1280.0050263138135,1338.2981360512656,1437.4394685050238,1537.5844629535472,1646.668768374024,1734.815312780885,1815.7601261120803
18,2025-06-01,630,1287.613778051132,1344.3170949354512,1440.0263632697156,1551.051716853512,1661.9816445235394,1760.6406392969946,1840.7666256021444
19,2025-07-01,630,1295.97523852647,1346.816759717962,1452.719185231575,1561.501945898167,1682.0589482706187,1784.9214024462767,1852.1954369394211
20,2025-08-01,630,1298.7225795136837,1343.6066705249991,1457.9067184581459,1568.0490278445834,1693.8219812213733,1809.0906601869096,1882.443711223137
21,2025-09-01,630,1301.1022767811728,1350.0825655809479,1463.5583861755943,1577.6110895616746,1699.4839208383553,1823.4412382041246,1904.0698415739598
22,2025-10-01,630,1299.5697741838912,1364.8598350377877,1465.0355126438055,1585.4555710299428,1715.284455156092,1841.0424953916722,1918.5906663898081
23,2025-11-01,630,1309.5739827316056,1376.9355320690854,1475.848840154496,1601.9321356338119,1728.129948752807,1854.8204174849952,1932.1503555405593
24,2025-12-01,630,1326.9921037894558,1382.4274794784621,1491.1675316498565,1615.929318737201,1743.6138543591032,1871.2401901122084,1954.3824639806971
