scope,variable,vsn_weight
decoder,ecos__mortgage_rate_new,0.2773682773113251
decoder,var_baseline_logret,0.17515836656093597
decoder,reb__apt_jeonse_supply_demand,0.06988844275474548
decoder,policy__capital_gains_tax_regime,0.055450789630413055
decoder,policy__dti_regime,0.050686683505773544
decoder,decoder_var_23,0.034250643104314804
decoder,reb__apt_sale_index,0.033473461866378784
decoder,policy__ltv_regime,0.029116429388523102
decoder,ecos__cd_91d_rate,0.028180649504065514
decoder,reb__apt_monthly_rent_supply_demand,0.02442314475774765
decoder,decoder_var_22,0.023218994960188866
decoder,ecos__base_rate,0.02284231223165989
decoder,ecos__unemployment_rate,0.0224579107016325
decoder,reb__apt_jeonse_avg_price,0.01926347054541111
decoder,policy__speculative_zone_regime,0.018595010042190552
decoder,policy__speculative_overheated_district_regime,0.017838792875409126
decoder,policy__comprehensive_real_estate_tax_regime,0.016198797151446342
decoder,policy__adjustment_target_area_regime,0.015949547290802002
decoder,policy__acquisition_tax_regime,0.015128367580473423
decoder,policy__dsr_regime,0.014929705299437046
decoder,reb__apt_sale_supply_demand,0.011201624758541584
decoder,ecos__cpi_housing,0.010548338294029236
decoder,time_idx,0.009202266111969948
decoder,policy__real_estate_policy_regime,0.004627994727343321
encoder,reb__apt_sale_supply_demand,0.12973865866661072
encoder,var_baseline_logret,0.09282754361629486
encoder,reb__apt_jeonse_supply_demand,0.08001629263162613
encoder,reb__apt_sale_index,0.06653032451868057
encoder,reb__apt_jeonse_avg_price,0.06506530940532684
encoder,ecos__unemployment_rate,0.060822051018476486
encoder,policy__acquisition_tax_regime,0.05299375206232071
encoder,ecos__base_rate,0.048956047743558884
encoder,policy__capital_gains_tax_regime,0.04800258204340935
encoder,policy__dti_regime,0.04569539800286293
encoder,ecos__mortgage_rate_new,0.0432155504822731
encoder,encoder_var_23,0.030819427222013474
encoder,policy__comprehensive_real_estate_tax_regime,0.029771821573376656
encoder,policy__ltv_regime,0.026567714288830757
encoder,encoder_var_24,0.022697675973176956
encoder,policy__speculative_overheated_district_regime,0.02210879884660244
encoder,policy__adjustment_target_area_regime,0.020949505269527435
encoder,residual_logret,0.020885344594717026
encoder,policy__speculative_zone_regime,0.019477974623441696
encoder,policy__real_estate_policy_regime,0.01722842827439308
encoder,ecos__cd_91d_rate,0.017027029767632484
encoder,encoder_var_22,0.0133649418130517
encoder,reb__apt_monthly_rent_supply_demand,0.011293753981590271
encoder,policy__dsr_regime,0.007246530149132013
encoder,ecos__cpi_housing,0.006697544362396002
static,static_var_4,0.765236496925354
static,static_var_2,0.07258132100105286
static,static_var_3,0.06279397755861282
static,dong,0.05117478966712952
static,gu,0.048213496804237366
