feature,diff_applied,last_level
ecos__base_rate,True,2.5
ecos__cd_91d_rate,True,2.84
ecos__cpi_housing,True,117.12
ecos__mortgage_rate_new,True,4.23
ecos__unemployment_rate,True,3.7
reb__apt_jeonse_avg_price,True,875.843555
reb__apt_jeonse_supply_demand,True,105.5142391
reb__apt_monthly_rent_supply_demand,False,
reb__apt_sale_avg_price,True,1506.09334
reb__apt_sale_index,True,191.8851708
reb__apt_sale_supply_demand,True,104.0994014
policy__dsr_regime,False,
policy__dti_regime,False,
policy__ltv_regime,False,
policy__real_estate_policy_regime,False,
policy__capital_gains_tax_regime,False,
policy__adjustment_target_area_regime,False,
policy__comprehensive_real_estate_tax_regime,False,
policy__acquisition_tax_regime,False,
policy__speculative_overheated_district_regime,False,
policy__speculative_zone_regime,False,
