lag,dependent,regressor,coef
1,ecos__base_rate,ecos__base_rate,-0.1948159277439285
1,ecos__base_rate,ecos__cd_91d_rate,0.2320533907691755
1,ecos__base_rate,ecos__cpi_housing,-0.005758991078110305
1,ecos__base_rate,ecos__mortgage_rate_new,-0.04504936241404735
1,ecos__base_rate,ecos__unemployment_rate,0.025087250534068985
1,ecos__base_rate,reb__apt_jeonse_avg_price,0.00047221774734533957
1,ecos__base_rate,reb__apt_jeonse_supply_demand,-0.0017893888298362833
1,ecos__base_rate,reb__apt_monthly_rent_supply_demand,-0.0017643903191725708
1,ecos__base_rate,reb__apt_sale_avg_price,7.752910358813648e-05
1,ecos__base_rate,reb__apt_sale_index,0.0033996821858607845
1,ecos__base_rate,reb__apt_sale_supply_demand,-0.0006995259343255482
1,ecos__base_rate,policy__dsr_regime,-0.08294431236003846
1,ecos__base_rate,policy__dti_regime,-0.020513828135697375
1,ecos__base_rate,policy__ltv_regime,0.01375903440578284
1,ecos__base_rate,policy__real_estate_policy_regime,-0.025574989481322325
1,ecos__base_rate,policy__capital_gains_tax_regime,-0.009584846472786977
1,ecos__base_rate,policy__adjustment_target_area_regime,0.07456411410676578
1,ecos__base_rate,policy__comprehensive_real_estate_tax_regime,0.020757719321674542
1,ecos__base_rate,policy__acquisition_tax_regime,0.02613376781268763
1,ecos__base_rate,policy__speculative_overheated_district_regime,0.015367202024459665
1,ecos__base_rate,policy__speculative_zone_regime,0.01536720202445993
1,ecos__cd_91d_rate,ecos__base_rate,0.12897426838148476
1,ecos__cd_91d_rate,ecos__cd_91d_rate,0.3606384698149628
1,ecos__cd_91d_rate,ecos__cpi_housing,0.009127065185190878
1,ecos__cd_91d_rate,ecos__mortgage_rate_new,0.17869422679253807
1,ecos__cd_91d_rate,ecos__unemployment_rate,-0.01352581304665006
1,ecos__cd_91d_rate,reb__apt_jeonse_avg_price,0.00017412665489519656
1,ecos__cd_91d_rate,reb__apt_jeonse_supply_demand,0.002976201968561385
1,ecos__cd_91d_rate,reb__apt_monthly_rent_supply_demand,-0.0008776559639225745
1,ecos__cd_91d_rate,reb__apt_sale_avg_price,-6.184952203654586e-05
1,ecos__cd_91d_rate,reb__apt_sale_index,0.0018432810257826325
1,ecos__cd_91d_rate,reb__apt_sale_supply_demand,-0.0007380318223705211
1,ecos__cd_91d_rate,policy__dsr_regime,-0.015144837042959903
1,ecos__cd_91d_rate,policy__dti_regime,-0.028393523357970903
