feature,empirical_n_obs,empirical_mean,empirical_std,t_df,t_loc,t_scale
ecos__base_rate,191,-2.9816899385826277e-15,0.08839277557719111,5.0,0.005935572259128094,0.06717257797717952
ecos__cd_91d_rate,191,2.5052676628976046e-15,0.07457186826049116,5.0,0.0024863786697387697,0.05720634460449005
ecos__cpi_housing,191,1.3760662185059498e-14,0.5171436605180082,5.0,0.005135069102712839,0.34681871910284334
ecos__mortgage_rate_new,191,5.280825224460496e-16,0.07890433277116142,5.0,-0.0017236918210983255,0.061086225509639866
ecos__unemployment_rate,191,-1.6763786403240584e-15,0.2530597299359847,5.0,-0.008952539587451614,0.206110166781573
reb__apt_jeonse_avg_price,191,-1.2795349422234893e-13,8.616128127898687,5.0,0.1729927566498565,6.794481131879136
reb__apt_jeonse_supply_demand,191,-1.332732644429612e-14,2.5739603630879095,5.0,0.024023607842953626,1.9312702159429274
reb__apt_monthly_rent_supply_demand,191,-8.184261877865029e-15,1.6086295989716348,5.0,0.02969072067905232,1.0672430485107522
reb__apt_sale_avg_price,191,1.0219166990225105e-13,44.54502811016888,5.0,1.6082631601798838,33.889445080073585
reb__apt_sale_index,191,-5.8208237531917895e-15,1.1284665371136902,5.0,-0.014788195230066754,0.7955357939004761
reb__apt_sale_supply_demand,191,-1.488745136476414e-14,3.3992840054485445,5.0,-0.03677821628180408,2.46785189726108
policy__dsr_regime,191,-4.54552044637106e-16,0.0645222884879956,5.0,-0.0026513605961517887,0.015767139417581025
policy__dti_regime,191,-3.6503668034795724e-16,0.2768074513513898,5.0,0.002600537968799467,0.0702421796508116
policy__ltv_regime,191,7.694833717271111e-15,0.38990898778630956,5.0,0.0035598214397703706,0.17122807061617976
policy__real_estate_policy_regime,191,-2.7377751026096795e-16,0.19001033528009514,5.0,-0.007081797674036345,0.05382323813391308
policy__capital_gains_tax_regime,191,8.381893201620292e-16,0.2936102918670422,5.0,-0.004825114395760473,0.1507242396008182
policy__adjustment_target_area_regime,191,-5.391266258323732e-16,0.06853702432715414,5.0,-0.003671446701511735,0.017844112962479973
policy__comprehensive_real_estate_tax_regime,191,5.812685992801867e-15,0.18406643017991575,5.0,0.0010843677520751957,0.057463836669919284
policy__acquisition_tax_regime,191,3.3649639212330005e-15,0.19575924266032854,5.0,0.006694293016738349,0.07371476295342315
policy__speculative_overheated_district_regime,191,-1.0834846690582679e-15,0.26167847571838176,5.0,0.0009782946971436052,0.1018344207572209
policy__speculative_zone_regime,191,1.2322894304739958e-16,0.26167847571838176,5.0,0.0009782946971436052,0.1018344207572209
