cluster,timestamp,var_p10,var_p50,var_p90
하락,2026-01-01,1482.38221337299,1482.38221337299,1482.38221337299
하락,2026-02-01,1494.3428686570721,1494.3428686570721,1494.3428686570721
하락,2026-03-01,1513.2085413634054,1513.2085413634054,1513.2085413634054
하락,2026-04-01,1516.304506968949,1516.304506968949,1516.304506968949
하락,2026-05-01,1527.5055350109194,1527.5055350109194,1527.5055350109194
하락,2026-06-01,1532.1030520180566,1532.1030520180566,1532.1030520180566
하락,2026-07-01,1547.77033551678,1547.77033551678,1547.77033551678
하락,2026-08-01,1551.2144694444028,1551.2144694444028,1551.2144694444028
하락,2026-09-01,1531.2111547926322,1531.2111547926322,1531.2111547926322
하락,2026-10-01,1591.8103955083973,1591.8103955083973,1591.8103955083973
하락,2026-11-01,1527.114605439971,1527.114605439971,1527.114605439971
하락,2026-12-01,1497.205958692895,1497.205958692895,1497.205958692895
하락,2027-01-01,1404.5832516037146,1404.5832516037146,1404.5832516037146
하락,2027-02-01,1413.1885172791197,1413.1885172791197,1413.1885172791197
하락,2027-03-01,1389.64305248295,1389.64305248295,1389.64305248295
하락,2027-04-01,1400.7585903065428,1400.7585903065428,1400.7585903065428
하락,2027-05-01,1410.885676020652,1410.885676020652,1410.885676020652
하락,2027-06-01,1374.8564783585214,1374.8564783585214,1374.8564783585214
하락,2027-07-01,1363.5722051876016,1363.5722051876016,1363.5722051876016
하락,2027-08-01,1353.5009095813134,1353.5009095813134,1353.5009095813134
하락,2027-09-01,1362.467129324014,1362.467129324014,1362.467129324014
하락,2027-10-01,1347.5077039004263,1347.5077039004263,1347.5077039004263
하락,2027-11-01,1350.281075745433,1350.281075745433,1350.281075745433
하락,2027-12-01,1309.587952939338,1309.587952939338,1309.587952939338
하락,2028-01-01,1181.8214747026939,1181.8214747026939,1181.8214747026939
하락,2028-02-01,1189.3907247126306,1189.3907247126306,1189.3907247126306
하락,2028-03-01,1128.2189091991236,1128.2189091991236,1128.2189091991236
하락,2028-04-01,988.411674102275,988.411674102275,988.411674102275
하락,2028-05-01,1002.5863091005893,1002.5863091005893,1002.5863091005893
하락,2028-06-01,952.0203385032644,952.0203385032644,952.0203385032644
하락,2028-07-01,958.2468954719907,958.2468954719907,958.2468954719907
하락,2028-08-01,928.8289169509139,928.8289169509139,928.8289169509139
하락,2028-09-01,935.7015698407796,935.7015698407796,935.7015698407796
하락,2028-10-01,914.0073712212497,914.0073712212497,914.0073712212497
하락,2028-11-01,964.6133789333103,964.6133789333103,964.6133789333103
하락,2028-12-01,980.9704124913158,980.9704124913158,980.9704124913158
하락,2029-01-01,970.255850620707,970.255850620707,970.255850620707
하락,2029-02-01,962.3374588427965,962.3374588427965,962.3374588427965
