step,timestamp,N_scenarios,p5,p10,p25,p50,p75,p90,p95
1,2026-01-01,730,1411.2532233895615,1431.8298855447306,1452.9212557499877,1481.1468302233945,1499.420567867256,1530.4198899433432,1544.5608872947353
2,2026-02-01,730,1389.2230192305592,1422.29769279517,1446.01681652394,1479.9469961313293,1517.6836715097338,1553.5012815598404,1579.7952699356135
3,2026-03-01,730,1350.75346146932,1399.7228776618892,1446.995260473098,1486.170134235629,1527.172476692695,1569.5998141224375,1605.595043545527
4,2026-04-01,730,1341.45898622393,1388.3327605571728,1442.4680183838268,1489.2488450178876,1543.4499532971874,1591.5135426013317,1628.1889772575678
5,2026-05-01,730,1338.6580806449133,1385.29945784884,1439.3679274329197,1493.1590133292461,1553.1654064685458,1606.9512715397486,1643.914202878122
6,2026-06-01,730,1331.849851132846,1374.0876415660955,1440.103657772089,1501.7550018887998,1561.9285631864107,1621.5891686079888,1648.248348967245
7,2026-07-01,730,1318.6331204514106,1370.0741570750524,1431.9374044584008,1503.5129592499566,1577.5550777005221,1639.0105916880284,1671.5009272641348
8,2026-08-01,730,1314.7854021970354,1362.365275847894,1433.4635586614106,1504.4327571632757,1588.4812952225802,1653.5358063865697,1685.348175932807
9,2026-09-01,730,1316.9988344522606,1367.2188081613526,1436.0070738953448,1509.5731977070077,1602.1162991987494,1668.775006929651,1708.3192915671061
10,2026-10-01,730,1304.4836985019062,1355.804086507596,1440.8455202438638,1517.652580017047,1610.2986061431723,1686.5858077982807,1727.6508514186175
11,2026-11-01,730,1301.538118941206,1351.888365595346,1445.0284894480478,1525.9035400158104,1623.2209151829597,1699.0751744061208,1746.3739926394642
12,2026-12-01,730,1308.3125745884183,1357.3230869366898,1449.4008078331735,1537.510579279095,1632.2841743744752,1720.0346543695098,1767.001422402989
13,2027-01-01,730,1312.1971347985195,1353.9260022685553,1455.5203031917056,1547.8069621681298,1645.9734186745918,1727.8024552765094,1785.5043573855273
