hybrid_alpha,residual_decay,hybrid_quantile_shrink,rmse,mae,mape,coverage80,band_width,band_width_pct
1.0,0.7,1.0,112.09231842444153,85.62796174632348,5.611101877980678,88.88888888888889,396.5588198801787,26.235165738620875
1.0,0.7,0.8,112.09231842444153,85.62796174632348,5.611101877980678,88.88888888888889,395.3888956305096,26.15776698955012
1.0,0.7,0.6,112.09231842444153,85.62796174632348,5.611101877980678,88.88888888888889,394.22229649396445,26.080588220188634
1.0,0.7,0.4,112.09231842444153,85.62796174632348,5.611101877980678,88.88888888888889,393.06130889152934,26.003780693427352
1.0,0.7,0.2,112.09231842444153,85.62796174632348,5.611101877980678,88.88888888888889,391.899020163404,25.926887088015395
1.0,0.65,1.0,112.50625111287087,86.01454120881334,5.635545571400862,88.88888888888889,396.4417924461134,26.22742354761477
1.0,0.65,0.8,112.50625111287087,86.01454120881334,5.635545571400862,88.88888888888889,395.4998574742155,26.165107898929378
1.0,0.65,0.2,112.50625111287087,86.01454120881334,5.635545571400862,88.88888888888889,392.66606049790164,25.977632221637272
1.0,0.65,0.6,112.50625111287087,86.01454120881334,5.635545571400862,88.88888888888889,394.5660557368089,26.103330321128244
1.0,0.65,0.4,112.50625111287087,86.01454120881334,5.635545571400862,88.88888888888889,393.6192360822543,26.040691516198045
0.9,0.7,0.2,112.53002401851346,86.14687549137331,5.6458873006549695,88.88888888888889,392.2541613889337,25.950382187469252
0.9,0.7,0.4,112.53002401851346,86.14687549137331,5.6458873006549695,88.88888888888889,393.27229481175544,26.017738901663197
0.9,0.7,0.6,112.53002401851346,86.14687549137331,5.6458873006549695,88.88888888888889,394.298452004468,26.085626444885225
0.9,0.7,0.8,112.53002401851346,86.14687549137331,5.6458873006549695,88.88888888888889,395.3388602071638,26.154456793033305
0.9,0.7,1.0,112.53002401851346,86.14687549137331,5.6458873006549695,88.88888888888889,396.38527977022926,26.223684835111534
0.9,0.65,1.0,112.8350427844121,86.41082287860566,5.663308122496543,88.88888888888889,396.26152830384194,26.21549780189399
0.9,0.65,0.8,112.8350427844121,86.41082287860566,5.663308122496543,88.88888888888889,395.4152755177874,26.159512205342082
0.9,0.65,0.2,112.8350427844121,86.41082287860566,5.663308122496543,88.88888888888889,392.89297442930086,25.99264418026792
0.9,0.65,0.4,112.8350427844121,86.41082287860566,5.663308122496543,88.88888888888889,393.73336779447686,26.048242134759743
0.9,0.65,0.6,112.8350427844121,86.41082287860566,5.663308122496543,88.88888888888889,394.56898134851775,26.10352387099833
1.0,0.75,0.2,112.86269152946915,86.4342525381931,5.667510054266064,88.88888888888889,391.88677056286065,25.926076690454238
1.0,0.75,0.4,112.86269152946915,86.4342525381931,5.667510054266064,88.88888888888889,393.2976028221799,26.019413205233597
1.0,0.75,0.6,112.86269152946915,86.4342525381931,5.667510054266064,88.88888888888889,394.746656608469,26.11527834387547
1.0,0.75,0.8,112.86269152946915,86.4342525381931,5.667510054266064,88.88888888888889,396.17444171421965,26.20973640913757
1.0,0.75,1.0,112.86269152946915,86.4342525381931,5.667510054266064,88.88888888888889,397.60024086017245,26.30406308913767
0.8,0.7,0.2,112.89808321140653,86.5638822844667,5.6745885232400095,88.88888888888889,392.49080960561736,25.96603813779793
0.8,0.7,0.4,112.89808321140653,86.5638822844667,5.6745885232400095,88.88888888888889,393.42666285686914,26.027951437724123
0.8,0.7,0.6,112.89808321140653,86.5638822844667,5.6745885232400095,88.88888888888889,394.37164236596317,26.09046850404022
0.8,0.7,0.8,112.89808321140653,86.5638822844667,5.6745885232400095,88.88888888888889,395.3144392472966,26.152841174120063
0.8,0.7,1.0,112.89808321140653,86.5638822844667,5.6745885232400095,88.88888888888889,396.2558768801852,26.215123920318646
0.9,0.75,0.2,113.10685514506856,86.81674130012412,5.694162808633675,88.88888888888889,392.18377030710997,25.945725320428124
0.9,0.75,0.6,113.10685514506856,86.81674130012412,5.694162808633675,88.88888888888889,394.73183923389684,26.114298069933184
0.9,0.75,0.8,113.10685514506856,86.81674130012412,5.694162808633675,88.88888888888889,396.02193168026605,26.1996467936329
0.9,0.75,1.0,113.10685514506856,86.81674130012412,5.694162808633675,88.88888888888889,397.31171090172325,26.28497479529324
0.9,0.75,0.4,113.10685514506856,86.81674130012412,5.694162808633675,88.88888888888889,393.4506249435483,26.02953669893622
0.8,0.65,0.2,113.24828124992749,86.81912847140254,5.6915761587669,88.88888888888889,393.061129572956,26.003768830237696
0.8,0.65,0.4,113.24828124992749,86.81912847140254,5.6915761587669,88.88888888888889,393.8279314386177,26.05449818746242
0.8,0.65,0.8,113.24828124992749,86.81912847140254,5.6915761587669,88.88888888888889,395.34350555043227,26.154764115287787
0.8,0.65,1.0,113.24828124992749,86.81912847140254,5.6915761587669,88.88888888888889,396.10120207552717,26.204891089948063
0.8,0.65,0.6,113.24828124992749,86.81912847140254,5.6915761587669,88.88888888888889,394.5877682953883,26.104766760174314
0.8,0.75,0.4,113.27578184499578,87.10395704699282,5.713920494700687,88.88888888888889,393.4104605125036,26.026879538251773
0.8,0.75,0.6,113.27578184499578,87.10395704699282,5.713920494700687,88.88888888888889,394.54923066177275,26.102217223625402
0.8,0.75,0.8,113.27578184499578,87.10395704699282,5.713920494700687,88.88888888888889,395.6913426491544,26.177775995184383
0.8,0.75,1.0,113.27578184499578,87.10395704699282,5.713920494700687,88.88888888888889,396.840205902127,26.253781410627802
0.8,0.75,0.2,113.27578184499578,87.10395704699282,5.713920494700687,88.88888888888889,392.27099510096554,25.951495856370332
0.7,0.7,0.4,113.34479508432241,87.08911364348688,5.710639840690815,88.88888888888889,393.6972279407452,26.04585122827907
0.7,0.7,1.0,113.34479508432241,87.08911364348688,5.710639840690815,88.88888888888889,396.11102780692676,26.205541131452243
0.7,0.7,0.8,113.34479508432241,87.08911364348688,5.710639840690815,88.88888888888889,395.3047588753169,26.152200749167775
0.7,0.7,0.6,113.34479508432241,87.08911364348688,5.710639840690815,88.88888888888889,394.49930517011285,26.098914299865754
0.7,0.7,0.2,113.34479508432241,87.08911364348688,5.710639840690815,88.88888888888889,392.8976791873817,25.992955433231725
1.0,0.6,0.2,113.50830220019314,86.83025419137961,5.690932271428828,88.88888888888889,393.3162594257696,26.020647471281304
1.0,0.6,0.4,113.50830220019314,86.83025419137961,5.690932271428828,88.88888888888889,394.11002383723957,26.073160591273503
1.0,0.6,0.6,113.50830220019314,86.83025419137961,5.690932271428828,88.88888888888889,394.90153288511596,26.125524503040566
1.0,0.6,1.0,113.50830220019314,86.83025419137961,5.690932271428828,88.88888888888889,396.5010114553845,26.23134130317893
1.0,0.6,0.8,113.50830220019314,86.83025419137961,5.690932271428828,88.88888888888889,395.70189183977806,26.178473898624034
0.7,0.65,0.4,113.65782995894726,87.22748139177492,5.719924081559381,88.88888888888889,393.7940495472336,26.052256661132816
0.7,0.65,1.0,113.65782995894726,87.22748139177492,5.719924081559381,88.88888888888889,395.82805299338816,26.18682034966435
0.7,0.65,0.2,113.65782995894726,87.22748139177492,5.719924081559381,88.88888888888889,393.11895795905735,26.007594586261035
0.7,0.65,0.8,113.65782995894726,87.22748139177492,5.719924081559381,88.88888888888889,395.1514092969903,26.142055591875447
0.7,0.65,0.6,113.65782995894726,87.22748139177492,5.719924081559381,88.88888888888889,394.471994594299,26.097107512456237
0.6,0.7,1.0,113.73177610679217,87.49686744895631,5.739269828713968,88.88888888888889,395.96202119902205,26.19568329231577
0.6,0.7,0.8,113.73177610679217,87.49686744895631,5.739269828713968,88.88888888888889,395.2638236484802,26.14949259489968
0.6,0.7,0.6,113.73177610679217,87.49686744895631,5.739269828713968,88.88888888888889,394.56847061109227,26.1034900821117
0.6,0.7,0.4,113.73177610679217,87.49686744895631,5.739269828713968,88.88888888888889,393.8730654170801,26.057484118794783
0.6,0.7,0.2,113.73177610679217,87.49686744895631,5.739269828713968,88.88888888888889,393.1819348180545,26.01176095011593
0.7,0.75,0.4,113.73565638958843,87.63690073148162,5.749500215447974,88.88888888888889,393.64053232253553,26.042100412849383
0.7,0.75,0.2,113.73565638958843,87.63690073148162,5.749500215447974,88.88888888888889,392.64811128552475,25.976444754512652
0.7,0.75,1.0,113.73565638958843,87.63690073148162,5.749500215447974,88.88888888888889,396.6185878461995,26.2391198115498
0.7,0.75,0.8,113.73565638958843,87.63690073148162,5.749500215447974,88.88888888888889,395.6188580340986,26.172980626139093
0.7,0.75,0.6,113.73565638958843,87.63690073148162,5.749500215447974,88.88888888888889,394.63104191113035,26.1076296153781
0.9,0.6,0.2,113.83361341516452,87.18489535932189,5.7157384829054045,88.88888888888889,393.36301602658585,26.023740750538487
0.9,0.6,0.4,113.83361341516452,87.18489535932189,5.7157384829054045,88.88888888888889,394.07777590051165,26.071027162580528
0.9,0.6,0.6,113.83361341516452,87.18489535932189,5.7157384829054045,88.88888888888889,394.79188684127126,26.118270643111995
0.9,0.6,0.8,113.83361341516452,87.18489535932189,5.7157384829054045,88.88888888888889,395.5145826393005,26.166082072563068
0.9,0.6,1.0,113.83361341516452,87.18489535932189,5.7157384829054045,88.88888888888889,396.2426233663247,26.214247106803683
0.6,0.75,0.6,114.06198321680066,87.9613826472935,5.771656533489229,88.88888888888889,394.73659857020056,26.11461293363177
0.6,0.75,0.8,114.06198321680066,87.9613826472935,5.771656533489229,88.88888888888889,395.5900216483317,26.171072895628576
0.6,0.75,0.2,114.06198321680066,87.9613826472935,5.771656533489229,88.88888888888889,393.04159131134577,26.002476236287208
0.6,0.75,1.0,114.06198321680066,87.9613826472935,5.771656533489229,88.88888888888889,396.4439171246383,26.227564110099944
0.6,0.75,0.4,114.06198321680066,87.9613826472935,5.771656533489229,88.88888888888889,393.88735649849656,26.058429574729058
0.6,0.65,1.0,114.09967524802808,87.69141091869508,5.75187729089115,88.88888888888889,395.5454187965466,26.16812210207581
0.6,0.65,0.2,114.09967524802808,87.69141091869508,5.75187729089115,88.88888888888889,393.2556784486479,26.016639611927992
0.6,0.65,0.4,114.09967524802808,87.69141091869508,5.75187729089115,88.88888888888889,393.8240203846085,26.054239443626702
